Sdate,Cosit,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flags,Flag Text,AvgSpeed,PmlHGV,Class1Volume,Class2Volume,Class3Volume,Class4Volume,Class5Volume,Class6Volume
2018/1/1 2:05,000000001157,3,WB_OS,1,West,0,16,Holiday,17315,0,0,0,0,0,0,0
2018/1/1 2:05,000000001157,4,WB_NS,1,West,0,16,Holiday,17315,0,0,0,0,0,0,0
2018/1/1 2:10,000000001157,1,EB_NS,2,East,3,16,Holiday,17593,0,0,3,0,0,0,0
2018/1/1 2:10,000000001157,2,EB_OS,2,East,0,16,Holiday,17593,0,0,0,0,0,0,0
2018/1/1 2:10,000000001157,3,WB_OS,1,West,0,16,Holiday,17593,0,0,0,0,0,0,0
2018/1/1 2:10,000000001157,4,WB_NS,1,West,0,16,Holiday,17593,0,0,0,0,0,0,0
2018/1/1 2:15,000000001157,1,EB_NS,2,East,4,16,Holiday,19931,0,0,4,0,0,0,0
2018/1/1 2:15,000000001157,2,EB_OS,2,East,0,16,Holiday,19931,0,0,0,0,0,0,0
2018/1/1 2:15,000000001157,3,WB_OS,1,West,0,16,Holiday,19931,0,0,0,0,0,0,0
2018/1/1 2:15,000000001157,4,WB_NS,1,West,0,16,Holiday,19931,0,0,0,0,0,0,0
2018/1/1 2:20,000000001157,1,EB_NS,2,East,3,16,Holiday,18241,0,0,3,0,0,0,0
2018/1/1 2:20,000000001157,2,EB_OS,2,East,0,16,Holiday,18241,0,0,0,0,0,0,0
2018/1/1 2:20,000000001157,3,WB_OS,1,West,0,16,Holiday,18241,0,0,0,0,0,0,0
2018/1/1 2:20,000000001157,4,WB_NS,1,West,0,16,Holiday,18241,0,0,0,0,0,0,0
2018/1/1 2:25,000000001157,1,EB_NS,2,East,6,16,Holiday,19028,0,0,6,0,0,0,0
2018/1/1 2:25,000000001157,2,EB_OS,2,East,0,16,Holiday,19028,0,0,0,0,0,0,0
2018/1/1 2:25,000000001157,3,WB_OS,1,West,0,16,Holiday,19028,0,0,0,0,0,0,0
2018/1/1 2:25,000000001157,4,WB_NS,1,West,0,16,Holiday,19028,0,0,0,0,0,0,0
2018/1/1 2:30,000000001157,1,EB_NS,2,East,5,16,Holiday,22556,0,0,5,0,0,0,0
2018/1/1 2:30,000000001157,2,EB_OS,2,East,0,16,Holiday,22556,0,0,0,0,0,0,0
2018/1/1 2:30,000000001157,3,WB_OS,1,West,0,16,Holiday,22556,0,0,0,0,0,0,0
2018/1/1 2:30,000000001157,4,WB_NS,1,West,0,16,Holiday,22556,0,0,0,0,0,0,0
2018/1/1 2:35,000000001157,1,EB_NS,2,East,2,16,Holiday,18194,0,0,2,0,0,0,0
2018/1/1 2:35,000000001157,2,EB_OS,2,East,0,16,Holiday,18194,0,0,0,0,0,0,0
2018/1/1 2:35,000000001157,3,WB_OS,1,West,0,16,Holiday,18194,0,0,0,0,0,0,0
2018/1/1 2:35,000000001157,4,WB_NS,1,West,0,16,Holiday,18194,0,0,0,0,0,0,0
2018/1/1 2:40,000000001157,1,EB_NS,2,East,6,16,Holiday,22037,0,0,6,0,0,0,0
2018/1/1 2:40,000000001157,2,EB_OS,2,East,0,16,Holiday,22037,0,0,0,0,0,0,0
2018/1/1 2:40,000000001157,3,WB_OS,1,West,0,16,Holiday,22037,0,0,0,0,0,0,0
2018/1/1 2:40,000000001157,4,WB_NS,1,West,0,16,Holiday,22037,0,0,0,0,0,0,0
2018/1/1 2:45,000000001157,1,EB_NS,2,East,3,16,Holiday,22963,0,0,3,0,0,0,0
2018/1/1 2:45,000000001157,2,EB_OS,2,East,0,16,Holiday,22963,0,0,0,0,0,0,0
2018/1/1 2:45,000000001157,3,WB_OS,1,West,0,16,Holiday,22963,0,0,0,0,0,0,0
2018/1/1 2:45,000000001157,4,WB_NS,1,West,0,16,Holiday,22963,0,0,0,0,0,0,0
2018/1/1 2:50,000000001157,1,EB_NS,2,East,3,16,Holiday,21759,0,0,3,0,0,0,0
2018/1/1 2:50,000000001157,2,EB_OS,2,East,0,16,Holiday,21759,0,0,0,0,0,0,0
